33,273
33,272
33,271
33,270
33,269
33,268
33,267
33,266
34,265
35,264
36,263
37,262
38,261
39,260
40,259
41,258
42,257
43,256
44,255
45,254
45,253
46,252
47,251
48,250
49,249
50,248
51,247
52,246
53,245
54,244
55,243
56,242
57,241
58,240
59,239
60,238
61,237
62,236
63,235
64,234
65,233
66,232
67,231
68,230
69,229
70,228
71,227
72,226
73,225
74,224
75,223
76,222
77,221
78,220
79,219
80,218
81,217
82,216
83,215
84,214
85,213
86,212
87,211
88,210
89,209
90,208
91,207
92,206
93,205
94,204
95,203
96,202
97,201
98,200
99,199
100,198
101,197
102,196
103,195
104,194
105,193
106,192
107,191
108,190
109,189
110,188
111,188
112,187
113,186
114,185
115,184
116,183
117,182
118,181
119,180
120,179
121,178
122,178
123,177
124,176
125,176
126,175
127,174
128,173
129,172
130,171
131,170
132,169
133,168
134,167
135,166
136,165
137,164
138,163
139,162
139,161
140,160
141,159
142,158
143,157
144,156
145,155
146,154
147,153
148,152
149,151
150,150
