seq_number,lat,lon
0,34.59808763785638,-94.85461890779388
1,34.59808763785638,-94.87180868195175
2,34.59808763785638,-94.8889984561096
3,34.59808763785638,-94.90618823026746
4,34.59808763785638,-94.92337800442533
5,34.59808763785638,-94.94056777858319
6,34.59808763785638,-94.95775755274104
7,34.59808763785638,-94.97494732689891
8,34.59808763785638,-94.99213710105677
9,34.5835762490864,-95.00932687521463
10,34.569064860316416,-95.02651664937248
11,34.554553471546434,-95.04370642353035
12,34.54004208277645,-95.06089619768821
13,34.52553069400648,-95.07808597184606
14,34.511019305236495,-95.09527574600394
15,34.49650791646651,-95.11246552016179
16,34.48199652769654,-95.12965529431965
17,34.467485138926556,-95.14684506847752
18,34.45297375015657,-95.16403484263537
19,34.43846236138659,-95.18122461679323
20,34.42395097261661,-95.19841439095109
21,34.409439583846634,-95.21560416510896
22,34.39492819507665,-95.23279393926681
23,34.38041680630667,-95.24998371342467
24,34.365905417536695,-95.26717348758254
25,34.35139402876671,-95.2843632617404
26,34.33688263999673,-95.30155303589825
27,34.32237125122675,-95.31874281005611
28,34.307859862456766,-95.33593258421398
29,34.29334847368679,-95.35312235837183
30,34.27883708491681,-95.37031213252969
31,34.26432569614683,-95.38750190668756
32,34.24981430737685,-95.40469168084542
33,34.23530291860687,-95.42188145500327
34,34.22079152983689,-95.43907122916113
35,34.206280141066905,-95.456261003319
36,34.19176875229692,-95.47345077747686
37,34.17725736352695,-95.49064055163471
38,34.162745974756966,-95.50783032579258
39,34.148234585986984,-95.52502009995044
40,34.13372319721701,-95.5422098741083
41,34.11921180844703,-95.55939964826615
42,34.104700419677044,-95.57658942242402
43,34.09018903090706,-95.59377919658188
44,34.07567764213708,-95.61096897073973
45,34.061166253367105,-95.6281587448976
46,34.04665486459712,-95.64534851905546
47,34.03214347582714,-95.66253829321332
48,34.017632087057166,-95.67972806737119
49,34.003120698287184,-95.69691784152904
50,33.9886093095172,-95.7141076156869
51,33.97409792074722,-95.73129738984476
52,33.95958653197724,-95.74848716400263
53,33.94507514320726,-95.76567693816048
54,33.93056375443728,-95.78286671231834
55,33.9160523656673,-95.80005648647621
56,33.90154097689732,-95.81724626063406
57,33.88702958812734,-95.83443603479192
58,33.87251819935736,-95.85162580894979
59,33.858006810587376,-95.86881558310765
60,33.843495421817394,-95.8860053572655
61,33.82898403304742,-95.90319513142336
62,33.81447264427744,-95.92038490558123
63,33.799961255507455,-95.93757467973909
64,33.78544986673748,-95.95476445389694
65,33.7709384779675,-95.97195422805481
66,33.756427089197516,-95.98914400221267
67,33.74191570042753,-96.00633377637052
68,33.72740431165755,-96.02352355052838
69,33.712892922887576,-96.04071332468625
70,33.698381534117594,-96.05790309884411
71,33.68387014534761,-96.07509287300196
72,33.66935875657764,-96.09228264715983
73,33.654847367807655,-96.10947242131769
74,33.64033597903767,-96.12666219547555
75,33.62582459026769,-96.1438519696334
76,33.61131320149771,-96.16104174379127
77,33.59680181272773,-96.17823151794913
78,33.58229042395775,-96.19542129210699
79,33.56777903518777,-96.21261106626486
80,33.553267646417794,-96.22980084042271
81,33.53875625764781,-96.24699061458057
82,33.52424486887783,-96.26418038873844
83,33.50973348010785,-96.2813701628963
84,33.495222091337865,-96.29855993705415
85,33.48071070256789,-96.315749711212
86,33.46619931379791,-96.33293948536988
87,33.451687925027926,-96.35012925952773
88,33.43717653625795,-96.36731903368559
89,33.42266514748797,-96.38450880784346
90,33.40815375871799,-96.40169858200132
91,33.393642369948005,-96.41888835615917
92,33.37913098117802,-96.43607813031703
93,33.36461959240805,-96.4532679044749
94,33.350108203638065,-96.47045767863276
95,33.33559681486808,-96.48764745279061
96,33.32108542609811,-96.50483722694848
97,33.306574037328126,-96.52202700110634
98,33.292062648558144,-96.5392167752642
99,33.27755125978816,-96.55640654942206
100,33.26303987101818,-96.57359632357992
101,33.248528482248204,-96.59078609773778
102,33.23401709347822,-96.60797587189563
103,33.21950570470824,-96.6251656460535
104,33.204994315938265,-96.64235542021136
105,33.19048292716828,-96.65954519436922
106,33.1759715383983,-96.67673496852709
107,33.1759715383983,-96.69392474268494
108,33.16146014962832,-96.7111145168428
109,33.146948760858336,-96.72830429100065
110,33.13243737208836,-96.74549406515852
111,33.11792598331838,-96.76268383931638
112,33.1034145945484,-96.77987361347424
113,33.08890320577842,-96.79706338763211
114,33.07439181700844,-96.81425316178996
115,33.05988042823846,-96.83144293594782
116,33.045369039468476,-96.83144293594782
117,33.03085765069849,-96.83144293594782
118,33.01634626192852,-96.83144293594782
119,33.001834873158536,-96.84863271010568
120,32.987323484388554,-96.86582248426355
121,32.97281209561858,-96.8830122584214
122,32.9583007068486,-96.90020203257926
123,32.943789318078615,-96.91739180673713
124,32.92927792930863,-96.93458158089499
125,32.91476654053865,-96.95177135505284
126,32.900255151768675,-96.96896112921071
127,32.88574376299869,-96.98615090336857
128,32.88574376299869,-97.00334067752642
129,32.88574376299869,-97.02053045168428
130,32.87123237422871,-97.03772022584215
131,32.856720985458736,-97.05491
