seq_number,lat,lon
0,32.127321375068675,-82.01720288370865
1,32.127321375068675,-82.03454574066039
2,32.127321375068675,-82.05188859761212
3,32.127321375068675,-82.06923145456386
4,32.127321375068675,-82.08657431151559
5,32.127321375068675,-82.10391716846733
6,32.127321375068675,-82.12126002541906
7,32.127321375068675,-82.1386028823708
8,32.127321375068675,-82.15594573932255
9,32.127321375068675,-82.17328859627428
10,32.127321375068675,-82.19063145322602
11,32.127321375068675,-82.20797431017775
12,32.127321375068675,-82.22531716712949
13,32.127321375068675,-82.24266002408122
14,32.127321375068675,-82.26000288103296
15,32.127321375068675,-82.27734573798469
16,32.127321375068675,-82.29468859493643
17,32.127321375068675,-82.31203145188817
18,32.127321375068675,-82.3293743088399
19,32.127321375068675,-82.34671716579165
20,32.127321375068675,-82.36406002274337
21,32.127321375068675,-82.38140287969512
22,32.127321375068675,-82.39874573664684
23,32.127321375068675,-82.41608859359859
24,32.127321375068675,-82.43343145055032
25,32.127321375068675,-82.45077430750206
26,32.127321375068675,-82.46811716445379
27,32.127321375068675,-82.48546002140553
28,32.141830943928,-82.50280287835727
29,32.156340512787324,-82.520145735309
30,32.17085008164665,-82.53748859226074
31,32.185359650505966,-82.55483144921247
32,32.19986921936529,-82.57217430616421
33,32.214378788224614,-82.58951716311594
34,32.22888835708394,-82.60686002006769
35,32.24339792594326,-82.62420287701943
36,32.25790749480258,-82.64154573397116
37,32.25790749480258,-82.6588885909229
38,32.272417063661905,-82.67623144787463
39,32.28692663252123,-82.69357430482637
40,32.301436201380554,-82.7109171617781
41,32.31594577023988,-82.72826001872984
42,32.3304553390992,-82.74560287568157
43,32.3304553390992,-82.76294573263331
44,32.34496490795852,-82.78028858958504
45,32.359474476817844,-82.79763144653678
46,32.37398404567717,-82.81497430348853
47,32.38849361453649,-82.83231716044025
48,32.40300318339582,-82.849660017392
49,32.40300318339582,-82.86700287434373
50,32.41751275225514,-82.88434573129547
51,32.43202232111446,-82.9016885882472
52,32.446531889973784,-82.91903144519894
53,32.46104145883311,-82.93637430215067
54,32.46104145883311,-82.95371715910241
55,32.47555102769243,-82.97106001605415
56,32.47555102769243,-82.98840287300588
57,32.47555102769243,-83.00574572995762
58,32.49006059655176,-83.02308858690935
59,32.50457016541108,-83.0404314438611
60,32.50457016541108,-83.05777430081282
61,32.5190797342704,-83.07511715776457
62,32.53358930312972,-83.0924600147163
63,32.54809887198905,-83.10980287166804
64,32.56260844084837,-83.12714572861978
65,32.577118009707696,-83.14448858557151
66,32.577118009707696,-83.16183144252325
67,32.591627578567014,-83.17917429947498
68,32.60613714742634,-83.19651715642672
69,32.62064671628566,-83.21386001337845
70,32.63515628514499,-83.2312028703302
71,32.64966585400431,-83.24854572728192
72,32.664175422863636,-83.26588858423366
73,32.67868499172295,-83.2832314411854
74,32.69319456058228,-83.30057429813714
75,32.7077041294416,-83.31791715508888
76,32.722213698300926,-83.3352600120406
77,32.73672326716025,-83.35260286899235
78,32.751232836019575,-83.36994572594408
79,32.76574240487889,-83.38728858289582
80,32.78025197373822,-83.40463143984755
81,32.79476154259754,-83.42197429679929
82,32.809271111456866,-83.43931715375102
83,32.82378068031619,-83.45666001070276
84,32.838290249175515,-83.4740028676545
85,32.85279981803483,-83.49134572460623
86,32.867309386894156,-83.50868858155798
87,32.88181895575348,-83.5260314385097
88,32.896328524612805,-83.54337429546145
89,32.91083809347213,-83.56071715241318
90,32.92534766233145,-83.57806000936492
91,32.93985723119077,-83.59540286631665
92,32.954366800050096,-83.61274572326839
93,32.96887636890942,-83.63008858022013
94,32.983385937768745,-83.64743143717186
95,32.99789550662807,-83.6647742941236
96,33.012405075487386,-83.68211715107533
97,33.02691464434671,-83.69946000802707
98,33.041424213206035,-83.7168028649788
99,33.05593378206536,-83.73414572193055
100,33.070443350924684,-83.75148857888227
101,33.08495291978401,-83.76883143583402
102,33.099462488643326,-83.78617429278576
103,33.11397205750265,-83.80351714973749
104,33.128481626361975,-83.82086000668923
105,33.1429911952213,-83.83820286364096
106,33.15750076408062,-83.8555457205927
107,33.17201033293995,-83.87288857754443
108,33.186519901799265,-83.89023143449617
109,33.20102947065859,-83.9075742914479
110,33.215539039517914,-83.92491714839964
111,33.23004860837724,-83.94226000535139
112,33.24455817723656,-83.95960286230311
113,33.25906774609588,-83.97694571925486
114,33.273577314955205,-83.99428857620659
115,33.28808688381453,-84.01163143315833
116,33.30259645267385,-84.02897429011006
117,33.31710602153318,-84.0463171470618
118,33.3316155903925,-84.06366000401353
119,33.34612515925182,-84.08100286096527
120,33.360634728111144,-84.098345717917
121,33.37514429697047,-84.11568857486874
122,33.38965386582979,-84.13303143182048
123,33.40416343468912,-84.15037428877221
124,33.41867300354844,-84.16771714572396
125,33.43318257240776,-84.18506000267568
126,33.44769214126708,-84.20240285962743
127,33.46220171012641,-84.21974571657915
128,33.47671127898573,-84.2370885735309
129,33.49122084784506,-84.25443143048264
130,33.50573041670438,-84.27177428743437
131,33.5202399855637,-84.28911714438611
132,33.53474955442302,-84.30646000133784
133,33.54925912328235,-84.32380285828958
134,33.56376869214167,-84.34114571524131
135,33.578278261000996,-84.35848857219305
136,33.59278782986031,-84.37583142914478
137,33.60729739871964,-84.39317428609652
138,33.62180696757896,-84.41051714304825
139,33.63631653643829,-84.42786
